name,Year,Series,Value,Source
Norway,2010,Population density,16.1,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Norway,2015,Population mid-year estimates (millions),5.19,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Norway,2015,Population mid-year estimates for males (millions),2.61,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Norway,2015,Population mid-year estimates for females (millions),2.58,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Norway,2015,Sex ratio (males per 100 females),101.3,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Norway,2015,Population aged 0 to 14 years old (percentage),18.0,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Norway,2015,Population aged 60+ years old (percentage),21.9,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Norway,2015,Population density,17.1,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Norway,2015,Surface area (thousand km2),386,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
Norway,2020,Population mid-year estimates (millions),5.38,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Norway,2020,Population mid-year estimates for males (millions),2.71,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Norway,2020,Population mid-year estimates for females (millions),2.67,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Norway,2020,Sex ratio (males per 100 females),101.7,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Norway,2020,Population aged 0 to 14 years old (percentage),17.2,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Norway,2020,Population aged 60+ years old (percentage),23.5,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Norway,2020,Population density,17.7,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Norway,2020,Surface area (thousand km2),324,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
Norway,2022,Population mid-year estimates (millions),5.43,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Norway,2022,Population mid-year estimates for males (millions),2.74,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Norway,2022,Population mid-year estimates for females (millions),2.69,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Norway,2022,Sex ratio (males per 100 females),101.9,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Norway,2022,Population aged 0 to 14 years old (percentage),16.7,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Norway,2022,Population aged 60+ years old (percentage),24.2,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Norway,2022,Population density,17.9,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Oman,2010,Population mid-year estimates (millions),2.88,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Oman,2010,Population mid-year estimates for males (millions),1.71,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Oman,2010,Population mid-year estimates for females (millions),1.17,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Oman,2010,Sex ratio (males per 100 females),145.7,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Oman,2010,Population aged 0 to 14 years old (percentage),26.9,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Oman,2010,Population aged 60+ years old (percentage),3.9,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Oman,2010,Population density,9.3,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Oman,2015,Population mid-year estimates (millions),4.19,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Oman,2015,Population mid-year estimates for males (millions),2.71,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Oman,2015,Population mid-year estimates for females (millions),1.48,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Oman,2015,Sex ratio (males per 100 females),183.7,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Oman,2015,Population aged 0 to 14 years old (percentage),22.3,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Oman,2015,Population aged 60+ years old (percentage),3.9,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Oman,2015,Population density,13.5,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Oman,2015,Surface area (thousand km2),310,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
Oman,2020,Population mid-year estimates (millions),4.54,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Oman,2020,Population mid-year estimates for males (millions),2.82,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Oman,2020,Population mid-year estimates for females (millions),1.72,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Oman,2020,Sex ratio (males per 100 females),163.8,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Oman,2020,Population aged 0 to 14 years old (percentage),25.6,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Oman,2020,Population aged 60+ years old (percentage),4.5,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Oman,2020,Population density,14.7,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Oman,2020,Surface area (thousand km2),310,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
Oman,2022,Population mid-year estimates (millions),4.58,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Oman,2022,Population mid-year estimates for males (millions),2.79,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Oman,2022,Population mid-year estimates for females (millions),1.79,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Oman,2022,Sex ratio (males per 100 females),155.5,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Oman,2022,Population aged 0 to 14 years old (percentage),27.0,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Oman,2022,Population aged 60+ years old (percentage),4.5,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Oman,2022,Population density,14.8,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Other non-specified areas,2010,Population mid-year estimates (millions),23.08,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Other non-specified areas,2010,Population mid-year estimates for males (millions),11.56,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Other non-specified areas,2010,Population mid-year estimates for females (millions),11.53,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Other non-specified areas,2010,Sex ratio (males per 100 females),100.3,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Other non-specified areas,2010,Population aged 0 to 14 years old (percentage),16.0,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Other non-specified areas,2010,Population aged 60+ years old (percentage),14.6,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Other non-specified areas,2010,Population density,651.9,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Other non-specified areas,2015,Population mid-year estimates (millions),23.51,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Other non-specified areas,2015,Population mid-year estimates for males (millions),11.71,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Other non-specified areas,2015,Population mid-year estimates for females (millions),11.80,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Other non-specified areas,2015,Sex ratio (males per 100 females),99.3,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Other non-specified areas,2015,Population aged 0 to 14 years old (percentage),13.7,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Other non-specified areas,2015,Population aged 60+ years old (percentage),18.1,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Other non-specified areas,2015,Population density,664.0,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Other non-specified areas,2022,Population mid-year estimates (millions),23.89,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Other non-specified areas,2022,Population mid-year estimates for males (millions),11.83,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Other non-specified areas,2022,Population mid-year estimates for females (millions),12.07,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Other non-specified areas,2022,Sex ratio (males per 100 females),98.0,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Other non-specified areas,2022,Population aged 0 to 14 years old (percentage),12.6,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Other non-specified areas,2022,Population aged 60+ years old (percentage),23.7,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Other non-specified areas,2022,Population density,674.8,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Pakistan,2010,Population mid-year estimates (millions),194.45,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Pakistan,2010,Population mid-year estimates for males (millions),99.99,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Pakistan,2010,Population mid-year estimates for females (millions),94.47,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Pakistan,2010,Sex ratio (males per 100 females),105.8,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Pakistan,2010,Population aged 0 to 14 years old (percentage),39.2,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Pakistan,2010,Population aged 60+ years old (percentage),5.7,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Pakistan,2010,Population density,252.3,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Pakistan,2015,Population mid-year estimates (millions),210.97,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Pakistan,2015,Population mid-year estimates for males (millions),107.98,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Pakistan,2015,Population mid-year estimates for females (millions),102.99,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Pakistan,2015,Sex ratio (males per 100 females),104.9,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Pakistan,2015,Population aged 0 to 14 years old (percentage),38.4,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Pakistan,2015,Population aged 60+ years old (percentage),6.0,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Pakistan,2015,Population density,273.7,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Pakistan,2015,Surface area (thousand km2),796,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
Pakistan,2020,Population mid-year estimates (millions),227.20,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Pakistan,2020,Population mid-year estimates for males (millions),114.82,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Pakistan,2020,Population mid-year estimates for females (millions),112.38,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Pakistan,2020,Sex ratio (males per 100 females),102.2,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Pakistan,2020,Population aged 0 to 14 years old (percentage),37.3,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Pakistan,2020,Population aged 60+ years old (percentage),6.6,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Pakistan,2020,Population density,294.7,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Pakistan,2020,Surface area (thousand km2),796,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
Pakistan,2022,Population mid-year estimates (millions),235.82,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Pakistan,2022,Population mid-year estimates for males (millions),118.96,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Pakistan,2022,Population mid-year estimates for females (millions),116.86,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Pakistan,2022,Sex ratio (males per 100 females),101.8,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Pakistan,2022,Population aged 0 to 14 years old (percentage),36.6,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Pakistan,2022,Population aged 60+ years old (percentage),6.8,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Pakistan,2022,Population density,305.9,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Palau,2010,Population mid-year estimates (millions),0.02,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Palau,2010,Population mid-year estimates for males (millions),0.01,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Palau,2010,Population mid-year estimates for females (millions),0.01,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Palau,2010,Sex ratio (males per 100 females),112.9,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Palau,2010,Population aged 0 to 14 years old (percentage),21.3,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Palau,2010,Population aged 60+ years old (percentage),9.8,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Palau,2010,Population density,40.3,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Palau,2015,Population mid-year estimates (millions),0.02,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Palau,2015,Population mid-year estimates for males (millions),0.01,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Palau,2015,Population mid-year estimates for females (millions),0.01,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Palau,2015,Sex ratio (males per 100 females),113.4,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Palau,2015,Population aged 0 to 14 years old (percentage),20.6,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Palau,2015,Population aged 60+ years old (percentage),12.2,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Palau,2015,Population density,38.7,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Palau,2015,Surface area (thousand km2),0,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
Palau,2020,Population mid-year estimates (millions),0.02,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Palau,2020,Population mid-year estimates for males (millions),0.01,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Palau,2020,Population mid-year estimates for females (millions),0.01,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Palau,2020,Sex ratio (males per 100 females),109.1,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Palau,2020,Population aged 0 to 14 years old (percentage),20.9,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Palau,2020,Population aged 60+ years old (percentage),14.7,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Palau,2020,Population density,39.1,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Palau,2020,Surface area (thousand km2),0,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
Palau,2022,Population mid-year estimates (millions),0.02,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Palau,2022,Population mid-year estimates for males (millions),0.01,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Palau,2022,Population mid-year estimates for females (millions),0.01,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Palau,2022,Sex ratio (males per 100 females),108.0,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Palau,2022,Population aged 0 to 14 years old (percentage),21.0,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Palau,2022,Population aged 60+ years old (percentage),15.6,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Palau,2022,Population density,39.2,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Panama,2010,Population mid-year estimates (millions),3.62,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Panama,2010,Population mid-year estimates for males (millions),1.82,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Panama,2010,Population mid-year estimates for females (millions),1.81,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Panama,2010,Sex ratio (males per 100 females),100.6,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Panama,2010,Population aged 0 to 14 years old (percentage),29.2,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Panama,2010,Population aged 60+ years old (percentage),9.4,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Panama,2010,Population density,48.9,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Panama,2015,Population mid-year estimates (millions),3.96,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Panama,2015,Population mid-year estimates for males (millions),1.98,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Panama,2015,Population mid-year estimates for females (millions),1.98,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Panama,2015,Sex ratio (males per 100 females),100.3,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Panama,2015,Population aged 0 to 14 years old (percentage),28.0,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Panama,2015,Population aged 60+ years old (percentage),10.6,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Panama,2015,Population density,53.3,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Panama,2015,Surface area (thousand km2),75,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
Panama,2020,Population mid-year estimates (millions),4.29,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Panama,2020,Population mid-year estimates for males (millions),2.15,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Panama,2020,Population mid-year estimates for females (millions),2.15,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Panama,2020,Sex ratio (males per 100 females),100.2,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
